Company Name,Domain,Industry,City,State,Postal Code,Country,Headcount,Linkedin,Description,Company Type,Tags,Source
MCI Deutschland,mci-live.de,Marketing Services,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/mcideutschland,,privately held,"",Import (file: export-11-leads)
MEDICI GROUP,medici-holding.com,Investment Management,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/medici-holding,,privately held,"",Import (file: export-11-leads)
Ecoligo,ecoligo.com,Renewable Energy Semiconductor Manufacturing,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/ecoligo,Ecoligo is a renewable energy company that provides sustainable solar power solutions.,privately held,"",Import (file: export-11-leads)
Classmethod,classmethod.de,Information Technology and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/classmethodeurope,"Classmethod is a cloud integration company that specializes in big data, mobile, IoT, and voice recognition technology, holding the prestigious title of AWS Premier Consulting Partner.",privately held,"",Import (file: export-11-leads)
Dornier Group,dornier-group.com,Business Consulting and Services,Berlin,Berlin,,Germany,501 to 1000,https://www.linkedin.com/company/dornier-group,"Dornier Group is an aviation consulting firm that specializes in aerospace engineering, aircraft development, and services for the defense industry.",public company,"",Import (file: export-11-leads)
PCG - Project Consult,pcg-projectconsult.de,Business Consulting and Services,Essen,Nordrhein-Westfalen,,Germany,11 to 50,https://www.linkedin.com/company/pcg---project-consult-gmbh,"PCG - Project Consult is a workforce consultation company that focuses on strengthening employee participation, ensuring fair labor practices, and preserving jobs in collaboration with unions, works councils, and employees.",privately held,"",Import (file: export-11-leads)
Ctrl QS,ctrl-qs.com,IT Services and IT Consulting,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/ctrl-qs,ctrl QS is a technology consulting firm that partners with multinational enterprises to enhance and scale their digital experience platforms across various markets and teams.,privately held,"",Import (file: export-11-leads)
Hitachi Rail,hitachirail.com,Rail Transportation,,,,,10001+,https://www.linkedin.com/company/hitachirail,Hitachi Rail is a rail transportation company that specializes in manufacturing rolling stock and providing engineering services for transportation infrastructure.,privately held,"",Import (file: export-11-leads)
Lk Argus Kassel,lk-argus.de,,,,,Germany,,,"Lk Argus Kassel is a logistics company that offers supply chain management, transportation, freight, and warehousing services.",,"",Import (file: export-11-leads)
Mall Mall,mallmall.fi,,,,,,,,,,"",Import (file: export-11-leads)
Essentry,essentry.com,Information Technology and Services,Eschborn,Hessen,,Germany,11 to 50,https://www.linkedin.com/company/essentry,Essentry is a Visitor Management platform that offers a unique visitor verification process using identity card authentication and face matching with artificial intelligence and biometric technology.,privately held,"",Import (file: export-11-leads)
WOONWOON,woonwoon.de,Real Estate,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/rek-berlin-home-service-gmbh,"WOONWOON is a hospitality company that offers a portfolio of fully furnished serviced apartments, blending Scandinavian design with the unique lifestyle of Berlin.",public company,"",Import (file: export-11-leads)
TEAM FÜR TECHNIK,tftgmbh.de,Engineering Services,Munich,Bayern,,Germany,51 to 200,https://www.linkedin.com/company/team-f%c3%bcr-technik-gmbh,"TEAM FÜR TECHNIK is an energy engineering firm that specializes in sustainable solutions through expert consulting, planning, and construction supervision.",partnership,"",Import (file: export-11-leads)
Audatic,audatic.ai,Software Development,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/audatic-ai,Audatic is a medical technology company that specializes in applying state of the art deep learning solutions to improve speech clarity for individuals with hearing loss.,privately held,"",Import (file: export-11-leads)
Co:listic,colistic.de,Advertising Services,Rheine,Nordrhein-Westfalen,,Germany,11 to 50,https://www.linkedin.com/company/colistic,co:listic is a communication agency that focuses on impactful advertising through holistic thinking and tailored approaches for different audience segments.,public company,"",Import (file: export-11-leads)
3B-Produktion,3b-produktion.de,Business Consulting and Services,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/3b-produktion,"3b produktion is a media production company that specializes in creating short and long documentaries, developing formats, and offering crossmedia services.",,"",Import (file: export-11-leads)
7Learnings,7learnings.com,Software Development,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/7learnings,7Learnings is a predictive analytics company that specializes in price optimization for e-commerce businesses.,privately held,"",Import (file: export-11-leads)
Dustles Service GmbH,dustlesservice.de,Business Consulting and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/dustles-service-gmbh,DustlesService is a professional cleaning company that offers high-quality building cleaning services with 41 years of experience at a fair price.,,"",Import (file: export-11-leads)
ClixOn,clixon.de,IT Services and IT Consulting,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/clixon,,privately held,"",Import (file: export-11-leads)
DMAC,dmac.com.do,Legal Services,Santo Domingo,Ozama,,Dominican Republic,11 to 50,https://www.linkedin.com/company/dmac-despacho-jur%c3%addico,DMAC is a law firm that provides personalized and proactive legal services with innovative solutions tailored to meet clients' needs while upholding ethical principles.,privately held,"",Import (file: export-11-leads)
FRAMEN,framen.com,,London,England,EC1N2SW,United Kingdom,,,"FRAMEN is a digital advertising platform that delivers digital content on digital screens to drive awareness in various locations such as gyms, coworking spaces, hotels, and supermarkets.",,"",Import (file: export-11-leads)
Steidten Architektur + Design,steidten.com,Retail,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/steidten-architektur-design-gmbh,"Steidten Architektur + Design is an interior design company that offers creative residential, commercial, and office furniture and architecture services.",privately held,"",Import (file: export-11-leads)
Inanna,inanna.beauty,Cosmetology and Barber Schools,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/inanna-beauty,"Inanna is a wellness spa that offers award-winning facial treatments, massages, skin rejuvenation, hair analysis, and hair removal services.",public company,"",Import (file: export-11-leads)
Certara,certara.com,Business Consulting and Services,Radnor,Pennsylvania,,United States,1001 to 5000,https://www.linkedin.com/company/certara,Certara is a pharmaceutical software company that specializes in modeling and simulation software for drug development.,public company,"",Import (file: export-11-leads)
S-Communication,s-communication.de,"Technology, Information and Internet",Berlin,Berlin,,Germany,201 to 500,https://www.linkedin.com/company/s-communication-services-gmbh,S-Communication Services is a Telecommunications company that provides networking and information technology services.,public company,"",Import (file: export-11-leads)
SEFE,sefe.eu,Oil and Gas,Berlin,Berlin,,Germany,1001 to 5000,https://www.linkedin.com/company/sefe-gmbh,sefe is an energy solutions provider that specializes in renewable energy and sustainable technology to enhance energy efficiency for its clients.,privately held,"",Import (file: export-11-leads)
DEGES,deges.de,Construction,Berlin,Berlin,,Germany,201 to 500,https://www.linkedin.com/company/deges,"DEGES is a company that specializes in infrastructure development, specifically in the transportation sector, offering expertise in construction and project management for public sector projects.",public company,"",Import (file: export-11-leads)
WeberHaus,weberhaus.de,Construction,,,,Germany,1001 to 5000,https://www.linkedin.com/company/weberhaus,WeberHaus is a construction company that specializes in building prefabricated houses with innovative architectural designs.,public company,"",Import (file: export-11-leads)
Contorion,contorion.de,Wholesale,Berlin,Berlin,,Germany,201 to 500,https://www.linkedin.com/company/contorion,Contorion is an e-commerce platform that offers a wide range of industrial supplies and MRO products.,privately held,"",Import (file: export-11-leads)
By Johanssen + Kretschmer Strategische Kommunikation,jk-kom.de,Business Consulting and Services,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/johanssen-kretschmer-strategic-communications,"by Johanssen + Kretschmer Strategische Kommunikation is a Strategic Communication agency that provides public relations, marketing, and business consulting services.",privately held,"",Import (file: export-11-leads)
ViViRA Health,vivira.com,Hospitals and Health Care,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/vivirahealth,ViViRA Health is a digital health company that develops and markets applications aimed at supporting individuals with musculoskeletal disorders through innovative digital therapy programs.,privately held,"",Import (file: export-11-leads)
BÄR Schuhe,baer-schuhe.de,Retail Apparel and Fashion,Bietigheim,Baden-Württemberg,,Germany,201 to 500,https://www.linkedin.com/company/b%c3%a4r-gmbh-manufaktur-f%c3%bcr-bequeme-schuhe,BÄR GmbH is a shoe manufacturing company that specializes in comfortable shoes.,public company,"",Import (file: export-11-leads)
WEX Europe Services,wexeuropeservices.com,Financial Services,Manchester,England,,United Kingdom,201 to 500,https://www.linkedin.com/company/wex-europe-services-limited,WEX Europe Services is a fuel management services company that provides fuel cards and payment solutions for the transportation industry.,privately held,"",Import (file: export-11-leads)
Regio Personalagentur,regio-personalagentur.de,Staffing and Recruiting,Dresden,Sachsen,,Germany,11 to 50,https://www.linkedin.com/company/regio-personalagentur-gmbh,,,"",Import (file: export-11-leads)
BET Energie,bet-energie.de,Business Consulting and Services,Aachen,Nordrhein-Westfalen,,Germany,51 to 200,https://www.linkedin.com/company/bet-energie,BET Energie is an energy and water management consultancy that provides diverse solutions for successful customer positioning.,privately held,"",Import (file: export-11-leads)
Tignum,tignum.com,Professional Training and Coaching,Stuttgart,Baden-Württemberg,,Germany,51 to 200,https://www.linkedin.com/company/tignum-executive-performance-catalysts,TIGNUM is a human performance company that specializes in upgrading business leaders and their teams to create more value at work and at home.,privately held,"",Import (file: export-11-leads)
New Monday,newmonday.co,Information Technology and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/new-monday-design,New Monday is a Creative Agency that provides design and digital marketing services to international corporations and startups.,privately held,"",Import (file: export-11-leads)
EB IMMOBILIENMANAGEMENT,eb-immo.de,Real Estate and Equipment Rental Services,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/eb-immobilienmanagement-gmbh,"EB IMMOBILIENMANAGEMENT is a real estate management company that manages, rents, and develops over 500 residential and commercial properties across Germany, aiming to maintain properties in the long term and optimize living quality for tenant satisfaction.",public company,"",Import (file: export-11-leads)
KIC Europe,kiceurope.eu,Government Administration,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/kic-europe,"KIC Europe is a non-profit innovation center that fosters collaboration across startups, corporations, and research sectors between Korea and Europe to support Korean entrepreneurs in their expansion efforts.",government agency,"",Import (file: export-11-leads)
Projektron,projektron.de,Software Development,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/projektron-gmbh,"Projektron is a Business Software company that develops and sells the Projektron BCS ERP system, specifically designed for service providers with a focus on project management.",public company,"",Import (file: export-11-leads)
Integra,integra-verwaltung.de,,,,,,,,,,"",Import (file: export-11-leads)
Business Visum,business-visum.de,Business Consulting and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/business-visum-gmbh,Business Visum is a management consulting company that operates in Germany with 6 branches.,public company,"",Import (file: export-11-leads)
Iberdrola,iberdrola.de,Electric Power Generation,Bilbao,País Vasco,,Spain,10001+,https://www.linkedin.com/company/iberdrola,Iberdrola Deutschland is an energy company that specializes in providing renewable electricity.,privately held,"",Import (file: export-11-leads)
IHGP-STEUER,ihgp-steuer.de,Business Consulting and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/ihgp-steuer-gmbh-steuerberatungsgesellschaft,IHGP-STEUER is a tax consulting firm that offers strategic analysis and tailored business solutions based on proactive and tactical approaches.,public company,"",Import (file: export-11-leads)
Agineo,agineo.de,Information Technology and Services,Aachen,Nordrhein-Westfalen,,Germany,51 to 200,https://www.linkedin.com/company/agineo,agineo is a technology company that specializes in optimizing enterprise-wide service management from concept through modeling to digital implementation.,public company,"",Import (file: export-11-leads)
SONOXO.AI GmbH & Co.KG,sonoxo.com,Information Technology and Services,Potsdam,Brandenburg,,Germany,11 to 50,https://www.linkedin.com/company/sonoxo-ai,SONOXO.AI GmbH & Co.KG is an IT consulting company that provides personalized consulting and project management services tailored to the needs of their customers.,public company,"",Import (file: export-11-leads)
Plantclub,plantclub.io,Design Services,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/plantclub,"Plantclub is a plant rental service that provides flexible solutions for green workplaces, managing everything from design to care to enhance employee well-being.",privately held,"",Import (file: export-11-leads)
BTB Berater,btb-berater.de,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/btb-berater,BTB Berater is a Real Estate Consulting company that offers expertise in all matters related to your property.,,"",Import (file: export-11-leads)
Digital Zolutions,digital-zolutions.de,Information Technology and Services,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/digital-zolutions,Digital Zolutions is a consulting company that specializes in building a digital framework for business processes using Zoho and Salesforce.,public company,"",Import (file: export-11-leads)
OYASO,oyaso.com,Software Development,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/oyaso,OYASO is a software solutions provider that streamlines order management and enhances decision-making through automation and data tracking.,privately held,"",Import (file: export-11-leads)
SuitePad,suitepad.de,,,,,,,,SuitePad is a hospitality technology company that provides digital guest communication solutions for hotels.,,"",Import (file: export-11-leads)
DF Deutsche Fiskal,deutsche-fiskal.de,IT Services and IT Consulting,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/deutsche-fiskal,"DF Deutsche Fiskal is a company focused on providing solutions for German fiscalization, bringing together expertise from leading partners to ensure future-proof, flexible, and compliant technology for retailers and business owners.",privately held,"",Import (file: export-11-leads)
Lemaiberlin,lemaiberlin.com,,,,,,,,,,"",Import (file: export-11-leads)
Atrium Design,atriumdesign.se,,,,,,,,,,"",Import (file: export-11-leads)
Dimu Dieter Muthmann,dimu.de,Machinery Manufacturing,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/dimu-dieter-muthmann-gmbh,"Dimu Dieter Muthmann is a machinery manufacturing company that specializes in diamond tools, construction equipment, and power tools with over 50 years of reliability in the industry.",,"",Import (file: export-11-leads)
INCEPT,incept.dev,Real Estate,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/incept-gmbh,"INCEPT is a real estate development company that specializes in residential properties and mixed-use projects, with a focus on sustainable housing and collaboration with investment partners.",privately held,"",Import (file: export-11-leads)
Synergie Inkasso,synergie-inkasso.de,Financial Services,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/synergie-inkasso-gmbh,Synergie Inkasso is a debt collection company specializing in contacting individuals for overdue payments and account inquiries.,,"",Import (file: export-11-leads)
Core ImmobilienManagement,core-berlin.de,Real Estate,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/core-immobilienmanagement-gmbh,Core ImmobilienManagement is a Real Estate Management company that oversees the properties of customers in both financial and technical aspects with a highly professional and personalized approach.,public company,"",Import (file: export-11-leads)
Interagila GmbH,interagila.com,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/interagila-gmbh,,,"",Import (file: export-11-leads)
Jobwork,jobwork.com,Staffing and Recruiting,Berlin,Berlin,,Germany,1 to 10,https://www.linkedin.com/company/jobworkcom,Daily New Jobs ✓ Exclusive Castings ✓ Exciting Auditions ✓ Simple Application Process ✓ Take your career to the next level with Jobwork!,privately held,"",Import (file: export-11-leads)
DKB Code Factory GmbH,dkbcodefactory.com,Software Development,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/dkb-code,DKB Code Factory GmbH is a banking technology company that focuses on creating tomorrow's banking through software development and digital innovation.,privately held,"",Import (file: export-11-leads)
heros-berlin.de,heros-berlin.de,,,,,,,,,,"",Import (file: export-11-leads)
Belastahl,belastahl.com,Mining,,,,Germany,,https://www.linkedin.com/company/belastahl,,,"",Import (file: export-11-leads)
Merkur Interactive Services,merkur-services.com,Gambling Facilities and Casinos,Berlin,Berlin,,Germany,51 to 200,https://www.linkedin.com/company/merkur-interactive-services,,privately held,"",Import (file: export-11-leads)
Nexnox,nexnox.com,,Dinkelsbühl,Bayern,,Germany,,https://www.linkedin.com/company/nexnox-gmbh,,,"",Import (file: export-11-leads)
Veritas Entertainment,veritas-entertainment.gg,Computer Games,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/veritas-entertainment-gmbh,VERITAS Entertainment is an esports/gaming company that builds a global network of premium gaming venues under the umbrella of their LVL brand.,privately held,"",Import (file: export-11-leads)
PEAK2Connect,peak2connect.de,Staffing and Recruiting,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/peak2connect-personalberatung-gmbh,PEAK2Connect is a recruitment consultancy that specializes in responsible hiring practices with a focus on enjoyable and engaging recruitment processes.,public company,"",Import (file: export-11-leads)
Sana Verwaltungs GmbH & Co. KG,sana-verwaltung.de,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/sana-verwaltungs-gmbh-%26-co.-kg,,,"",Import (file: export-11-leads)
RMD City Bau GmbH,rmd-citybau.de,,Berlin,Berlin,,Germany,,https://www.linkedin.com/company/rmd-city-bau-gmbh,"RMD City Bau GmbH is a construction company that specializes in interior and exterior design, new construction, and serves as a general contractor.",,"",Import (file: export-11-leads)
Slected,slected.de,IT Services and IT Consulting,Berlin,Berlin,,Germany,11 to 50,https://www.linkedin.com/company/slected,,privately held,"",Import (file: export-11-leads)
